Tweet;komentar;Sentimen
1;Kominfo hrs dihukum krn data nik dan kk sdh bocor dan buanyak telpon whatsapp dr nomor gak jelas. | | Giliran kita melakukan kesalahan dihukum;Negatif
2;Maklum . . . | | latar belakang tani koq nanganin kominfo . . .  ya bocor lah . .  kan bukan ahlinya . | | Yg salah yg ngangkat dia jd mentri . . .  ya jokowi lah . . .  lihat dulu orangnya ahlinya apa di sesuaikan dulu harusnya . . . | | Yg lebih salah ya yg milih jokowi . . .  latar belakangnya kan meubel masa suruh mimpin Indonesia . . . | | Ngomong2 jokowi dulu pemilu menang jujur atw menang curang?;Negatif
3;Orang boomer mana tahu teknologi informasi,  jadi klo kehilangan itu salah'  Kominfo| , masa orang tamatan sarjana ekonomi pertanian dan alat alat yah begini| ,  yang nyimpen Kominfo tapi yang disalahkan atas hal ini masyarakat luar biasa ini Kominfo | sekjen Nasdem|  Jhonny G plate;Negatif
4;Gini pak ya,  semisal ada pengajuan proyek ttg keamanan siber ini setuji aja pak,  jadi rakyat sama bapak sendiri bisa seneng eheheh. | | Btw pasti gede lho itu biayanya pak. ;Negatif
5;Pejabat Kominfo Itu pada Gaptek apa gimana sih???| | itulah hasilnya kalo yg menjabat paling di Alu²kan di predikat lulusan  ijazah saja,  tanpa memandang skill yg Sebenarnya yg harusnya duduk di bidang itu| | Anehnya di salahkan mereka seolah² gak salah ,  apa memang Gak Faham jalur System IT nya atau masa bodoh si?!;Negatif
6;salah kominfo lah. | | udah tugas nya jaga privasi data orang indo. | | BISA KERJA KAGAK WOY KOMINFO?;Negatif
7;"Regsitrasi Sim Card ditugaskan Pemerintah kepada "" Kominfo""  untuk Daftar sim card tersebut tujuan nya yah banyak contoh nya biar data tidak bocor dll . . . . . | | Kesimpulan nya Orang""  yg Registrasi sim card nya ke situs web legal alias punya negara| | ngomong-ngomong, Nah sekarang permasalah nya Data bocor dan buanyak banget . . . .  siapa yang salah ? lihat lagi kalimat""  di atas| ,  Sudah daftar di situs pemerintah legal yaitu kominfo tpi bisa bocor ?. . . . .  nah kan jawaban ny dah muncul siapa yang salah jelas KOMINFO| | | | | | | ";Negatif
8;BASI LAH. | | DATA KITA DI JUAL NGOMONG KENA HACK. . ;Negatif
9;100% salah kominfo lah| | | Tugas hacker emang gitu kali misal ngehack shopi| | Setelah hacker bisa hack shopi,  lalu dilaporkan dimana titik lemahnya tanpa di salah gunakan| | Itu bisa dpt bayaran gede| | | Jd silahkan kuatkan keamanannya,  bukan malah ngelarang dihack;Negatif
10;Terimakasih KOMINFO kejadian ini membuktikan hacker yang lulusan SD tidak bisa bekerja dipemerintahaan | dibidangnya|  padahal punya keahlian, dan pendidikan formal, ijazah tinggi tidak menjamin skill seseorang. | | Kenapa di negara kita kalau bekerja harus dinilai dari ijazah bukan dinilai dari skillnya. ;Negatif
11;"Pas sih kl di katain idiot| bukanya memperkuat sistem malah ceramahin hacker nya,  udh kaya emak""  lg marahin anaknya wkwk pantes tdi gw dpt wa yg mengatas namakan bank BRI tentang perubahan tarif";Negatif
12;Kementrian Bajingan,  kementrian kountol !!| | Tingkat keamanan rendah orang lain kau salah kan| | Kementrian taek kucing kering| | Laknat lah kau semua!;Negatif
13;hal ini sangat lucu krn tujuan konminfo minta data adalah utk melindungi seseorang dari hal Ngtif atas penyalahgunaan sim card skrg jati diri pemberi data yang hilang. ibarat takut seseorang kena ujan dikasih payung tapi payungnya payung berlubang. hal ini hal serius. malu2in dan merugikan bangsa sendiri ini namanya. | | yg mengesalkan spam via sms tetap saja ada nyatanya. menkominfo perlu diisi org2x white hat baru ada artinya bagi keefektifan fungsi konminfo yang sesungguhnya;Negatif
14;Mau diapain itu data| | Ati ati data buat pemilu;Negatif
15;Ini nih yang mesti diperhatikan| | | 1.  Masalah kebocoran data sudah menjadi kebiasaan| | 2.  Tidak pernah belajar dari kebocoran data| | 3.  Ga ada yang mau ngaku dan tanggung jawab| | 4.  Pengajuan biaya untuk pengamanan data dan sejenisnya sering di nomor- 2 kan. | | | Parah sih kalo sampe jadi kebiasaan,  server database nya di cat no- drop aja biar ga bocor2 lagi tuh,  klo perlu di cor beton;Negatif
16;Non aktifkan pejabat di lingkungan kominfo yang terkait keamanan database pengguna.  Lakukan audit forensik,  cari oknumnya,  pecat. | | Selesai perkara;Negatif
17;Tau nya cuma blokir situs pekob| | Gk tau yg gini2;Negatif
18;next,  Bocor Data My Pertamina| ,  nanti salah2 an lagi tuh;Negatif
19;Itulah makanya pak bos,  layanan nyimpen data spt google dan meta  kemarin gak mau sepintu dengan bapak di PSE. | | blokir bokep aja susah,  apalagi nyimpen data orang. | | Bayangin kalo akte sertifikat tanah jadi digital,  ehh kena hack.  Wkwkwkwk;Negatif
20;Asyik,  Kominfo udah Open Source data data negara;Negatif
21;Bocor aja terus data2;Negatif
22;Bocor bocor bocor;Negatif
23;Kemarin sok sok an lha udah berapa kali data bocor ,  kalau udah seperti ini ,  lha salah siapa ya;Negatif
24;Pejabat yg lengah melindungi data penting penduduk Indonesia ini. .  dihukum mati saja yaa. .  supaya tdk lengah/ lalai dalam menjaga negara. . !!| | | Hancurr negara ini di pimpin orang2 nggak becus yg gila jabatan. . !!;Negatif
25;MAKANYA KOMINFO ITU GAK USAH PAKE ORANG2 TUA,  TEKNOLOGI ITU BERKEMBANG HARUS ANAK MUDA YG DUDUK DI KOMINFO, KARNA YG TUA2 OTAKNYA UDAH KETINGGALAN. . | | MAAF SAJA YA KLO TEKNOLOGI MEMANG HARUS YG MUDA YG URUS,  BUKAN YG TUA| | KALIAN NGOTOT KAMI HARUS REGISTRASI SIM CARD TAPI DATA KAMI KALIAN TIDAK BISA JAGA BAIK2. . LALU KAMI HARUS PERCAYA  SIAPA;Negatif
26;Hahahah bocor semua data gaada yang salah,  yang salah rakyat pemerintah ga salah kok jadi pemerintah ga ush minta maaf dan tanggung jawab| | | Tuntut saja pemerintah saat diakhirat nanti;Negatif
27;Tau gak pak pejabat,  mesin pesawat itu di- ' siksa'  sampe bener2 tau bahwa mesin tsb tahan terhadap kondisi lingkungan. | | | IT juga sama pak.  mesti harus ada stress test untuk memastikan data tsb aman dan itu ada harganya.  mohon kiranya duitnya jangan ditilep. ;Negatif
28;enteng BACOT blg tdk sparah hr ini, ,  klo tu daata dmanfaatkn utk kriminal lain sprti pinjol bgmn?| | TETEP hrs diproses krn DATA PRIBADI sdh ada UU nya & itu ksalahan perlindungan & kriminal wlopn bukan PELAKU!!!!| | sialan datga bocor bnyak alesn pdhl itu BAHAYA!;Negatif
29;Registrasi dibuat ribet , sim dulu bisa dipake disemua wilayah skrng sim perdana khusus Jabodetabek doang , eh msh bnyk sms penipuan masuk ,  nih lg data bocor solusinya malah ngeblokir websitenya lmaao. | | Giliran tanggung jawab gk mao tolol;Negatif
30;Kominfo benar2 ga bisa diharapkan. . . | | makan gaji buta doang. . . . bocor terus datanya;Negatif
31;Keamanan negriku sedang tidak baik2 saja;Negatif
32;"BIN turu
Ketar ketir kalau nanti data rakyat ilang makanya bergerak cepat sebelum ketahuan rakyat dan diamuk massa,  makanya mereka bikin opini kalau itu cuma hoax padahal dibalik layar mereka ketakutan kalau data rakyatnya di salah gunakan Dan takut dibilang sama rakyat ga bisa ngapa ngapain
Hayoo BIN?";Negatif
33;Jangan2 BIN bilang aman2 mereka sendiri ndak tau klo lagi kecolongan;Negatif
34;Kalau aman kenapa bocor ya berarti tidak aman logikanya;Negatif
35;Ya tidak ketahuanlah,  tetapi data2 nya sudah di pindahkan;Negatif
36;Jual beli data aja ga ditindak,  malah sibuk blokir2 hehe.  Ahli IT di pemerintahan cmn bs benerin kabel lan sama printer keknya;Negatif
33;"BSSN :  Tidak ada upaya pembobolan data
Meanwhile :  Qetar qetir";Negatif
34;dengan adanya hacker kayak bjorka ini nunjukin kalo pemerintah kita tu ga kompeten & ndak punya skil karna situs besar kepunyaan negara semacam ini bisa di bobol,  dan nunjukin juga keamanan data indonesia ga pernah upgrade;Negatif
35;Kok bin turun tangan kan kata nya data yg di share sama bjorka hoaks/ ga valid ?;Negatif
36;Yookk. . hacker yg lain muncul. . bantu bjorka buat acak acak data pemerintah. . ;Negatif
33;Ayo gerak cepat. . ! Itu ngaku2 Haceker Luar Negeri. Paling ulah bagian kelompok itu lagi. dpat data dari org dalam ngaku hecker. terbaca pola nya. i;Negatif
34;"mending retas situs kemensos aja , acak""  tuh data blt dsn pkh biar jdi tepat sasaran";Negatif
35;santuy aja kl emang ngga ada data yg dihack  ngga usah panik;Negatif
36;"Data pribadi itu sensitif harusnya hacker jahat dihukum berat seperti di Israel dihukum gantung, itu kan gibah, fitnah tanpa dasar hukum yg jelas bisa dibilang oknum hacker kafer. 
Aku pernah lihat hacker dulu memasuki data pribadi artis wg/ ts kamarnra di obok obok. 
Dulu tapi. ";Negatif
37;Data ilang di hack dibilangnya HOAX,  web securitynya dijaga dengan baik.  Jangan sampe dimaling.  lucu ya Hackernya yang dikejar pake UU ITE??.  Hayo para ahli IT bisa nggak tracking BJORKA!!.  Heleh emang bisa?,  tracking opposite aja memble. ;Negatif
38;Awalnya BIN menyangkal adanya pencurian data jokowi yg di lakukan oleh HACKER BJORKA . DI bantah dengan sangat pd nya .  Sekarang kok bergerak . padahal HACKER BJORKA sudah mencuri data selama 30 hari . STUPID INTELEGENCE;Negatif
39;Katanya data BIN aman kenapa gaduh hahaha edan;Negatif
40;AKUI SAJA SISTEM DATA KITA PALING LEMAH . .  1. 4 M BOCOR DATA SIM CARD;Negatif
41;ternyata bjorka pembohonggua kira ada data yg bocor, ternyata gk;Negatif
42;Yaelah,  situsnya BIN aja juga kena retas wkwk;Negatif
43;klw nga mampu tambal saja data dengan No Drop Anti Bocor Atap;Negatif
44;Kalau presiden yg di retas BIN turun tangan.  Kalau data rakyat yg bocor siapa yg mau turun tangan. . ????;Negatif
45;"Halah pas data presiden bocor baru gerak kemarin data rakyat bocor 1, 3 milyar kalian pada kemana.  Kerja untuk rakyat apa untuk untuk penguasa 
gw dh muak sama pemerintah";Negatif
46;Ya salah orangnya kenapa gk jaga datanya sendiri| | - kombadut2022;Negatif
47;baru saja minta data;Negatif
48;Bodo amat Data PLN bocor,  data simcard bocor. . | | | Yg penting gaji sama tunjangan lancarrrr;Negatif
49;Gw sih ga mau tau ya,  kalo sampai knp2 dgn data gw,  gw minta pertanggungjawaban Kominfo| | Simple kan?;Negatif
50;Waduhhh.  Apa dampaknya apa bila data itu bocor. . | | Kami kalangan daerah. ;Negatif
51;Hebat juga bisa dijebol.  Coba tinggaktkan lagi keamanan datanya,  wahai pemerintah. . ;Negatif
52;Tidak ada sistem yang aman, ;Netral
53;"Ditunggu aksi bjorka nge hack tv nasional lalu berpidato spt V for vendetta  "" remember , remember. . . . . . ";Negatif
54;"Bobol kok cuma begitu,  cuma data pribadi.  Itu juga klaim sepihak,  BIN juga gak ngerasa kebobolan,  berati ada orang dalem yg jual data . 
Bobol itu,  email,  ig,  WA pribadi chat dll,  baru kereeen";Negatif
55;tidak ada sistem yang aman;Netral
56;"masa data""  negara aja masih bisa bocor itu keamanan nya kurang kuat gimana si kalo semua data""  negara bocor dan kesebar luas gw mending dukung bjorka aja ,  lagi pula bjorka ngelakuin ini juga berniat baik dan untuk membenarkan negara rakyat ini";Negatif
57;"Gak ada sih ceritanya kebobolan data. . .  kalau tidak ada keterlibatan "" orang dalam"" . 
Cerita classic marketing crypto itu. . .  apa masa iya sih share- an wifi buat nonton bokep. . .  pakai pc admin. . .  mustahil sih. . .  input data kan gak harus selalu butuh koneksi. 
Kan ada istilah  yg disebut topologi. . .  macem warnet gitu deh";Negatif
58;Gmna mau tau kecolongan kn data nya gk di ambil,  cmn di salin;Negatif
59;"TIDAK ADA SYSTEM YANG AMAN
Jadi tidak ada hal yang mustahil system yang di anggap maximalpun keamananya tetap akan bisa DiBOBOL, 
Lebih baik perbaiki kesalahan diri masing masing. ";Positif
60;Sekelas bin bocor datanya busett dah bang . . .  Mantep bener ini bjorka;Negatif
61;Makanya klo orang indonesia ada yg jadi heker itu di kembangin jangan di tangkap atau di omelin.  Maaf saran;Positif
62;selama sistem operasi di pemerintahan menggunakan sistem operasi macam windows,  mac,  android,  google dll,  atau pake sistem operasi bikinan luar ya ga bakalan aman data negara.  krna mereka yg bikin pasti tau celah kemanannya atau mungkin dibikin backdoor nya. ;Netral
63;Saran :  sebaiknya perbaiki diri segera jgn sok nantang2 khawatirnya nanti dia makin ngeri buka2nya;Positif
64;mau tujuan bjorka politik ekonomi dll koq malah tujuan nya itu yg di fokus.  kenapa para pejabat negeri ini banyak bacot nya dari pada kerja nya.  bukannya perbaiki keamanan  cyber biar data rakyat aman;Negatif
65;Ahli cyber security pun masih belum ahli untuk membaca situasi dan menganalisa motif apa yg sebenarnya.  Hihihhhii;Negatif
66;wkwkw,  miliaran dana tapi situs jadi mainan. .  maluu malu;Negatif
67;Wajar lemah,  dia rekrutmen semaunya dia . . ;Negatif
